Species,Condition,Value,,Species,Condition,Value,,
Acidobacteria,Conventional,12.8,,Acidobacteria,Conventional,12.99625 (13%),,
Actinobacteria,Conventional,19.6,,Actinobacteria,Conventional,16.60375 (17%),,
Bacteroidetes,Conventional,8.7,,Bacteroidetes,Conventional,7.0625 (7%),,
Chloroflexi,Conventional,5.6,,Chloroflexi*,Conventional,4.294125 (4%),,
Firmicutes,Conventional,2.9,,Firmicutes,Conventional,9.6925 (10%),,
Planctomycetes,Conventional,2.2,,Planctomycetes*,Conventional,2.525 (3%),,
Proteobacteria,Conventional,25.4,,Proteobacteria,Conventional,32.50375 (30%),,
Verrucomicrobia,Conventional,6.3,,Verrucomicrobia*,Conventional,2.97 (3%),,
Others,Conventional,8,,Gemmatimonadetes,Conventional,2.36 (2%),,
Acidobacteria,Intermediate,13.8,,,,,,
Actinobacteria,Intermediate,18.8,,Nitrospirae,Conventional,0.5625 (1%),,
Bacteroidetes,Intermediate,6.95,,Armatimonadota,Conventional,0.59375 (1%),,
Chloroflexi,Intermediate,5.65,,Others,Conventional,8.773375 (9%),,98.9375
Crenarchaeota,Intermediate,7.5,,Acidobacteria,Intermediate,31.8 (30%),,
Firmicutes,Intermediate,2.85,,Actinobacteria,Intermediate,15.4 (14%),,
Myxococcota,Intermediate,2.6,,Bacteroidetes,Intermediate,4.475 (4%),,
Planctomycetes,Intermediate,2.5,,Chloroflexi*,Intermediate,5.325 (5%),,
Proteobacteria,Intermediate,24.55,,Firmicutes,Intermediate,1.925 (2%),,
Verrucomicrobia,Intermediate,6,,Planctomycetes*,Intermediate,4.9 (5%),,
Others,Intermediate,8.8,,Proteobacteria,Intermediate,21.275 (20%),,
Acidobacteria,Organic,12.9,,Verrucomicrobia*,Intermediate,9 (8%),,
Actinobacteria,Organic,20.5,,Gemmatimonadetes,Intermediate,1 (1%),,
Bacteroidetes,Organic,8.8,,Nitrospirae,Intermediate,1 (1%),,
Chloroflexi,Organic,4.8,,Armatimonadota,Intermediate,1.5 (1%),,
Crenarchaeota,Organic,6,,Crenarchaeota,Intermediate,3.75 (4%),,
Firmicutes,Organic,2.5,,Myxococcota,Intermediate,1.3 (1%),,
Myxococcota,Organic,2.8,,Others,Intermediate,4.4 (4%),,107.05
Planctomycetes,Organic,2.8,,Acidobacteria,Organic,16.41875 (16%),,
Proteobacteria,Organic,24.9,,Actinobacteria,Organic,17.7775 (18%),,
Verrucomicrobia,Organic,6,,Bacteroidetes,Organic,6.66125 (7%),,
Others,Organic,8,,Chloroflexi*,Organic,3.62125 (4%),,
Acidobacteria,Conventional,11.67,,Firmicutes,Organic,8.05125 (8%),,
Actinobacteria,Conventional,20.98,,Planctomycetes*,Organic,1.85 (2%),,
Bacteroidetes,Conventional,4.3,,Proteobacteria,Organic,31.15875 (31%),,
Chloroflexi,Conventional,6.003,,Verrucomicrobia*,Organic,3.6625 (4%),,
Firmicutes,Conventional,23.89,,Gemmatimonadetes,Organic,1.48375 (1%),,
Proteobacteria,Conventional,26.63,,Nitrospirae,Organic,0.859375 (1%),,
Verrucomicrobia,Conventional,2.46,,Others,Organic,7.640625 (8%),,100
Gemmatimonadetes,Conventional,1.63,,,,,,
TM7,Conventional,1.2,,,,,,
Others,Conventional,1.237,,,,,,
Acidobacteria,Organic,13.95,,,,,,
Actinobacteria,Organic,22.22,,,,,,
Bacteroidetes,Organic,2.49,,,,,,
Chloroflexi,Organic,5.67,,,,,,
Firmicutes,Organic,23.61,,,,,,
Proteobacteria,Organic,24.87,,,,,,
Verrucomicrobia,Organic,2.8,,,,,,
Gemmatimonadetes,Organic,1.37,,,,,,
TM7,Organic,1.73,,,,,,
Others,Organic,1.29,,,,,,
Acidobacteria,Organic,3,,,,,,
Actinobacteria,Organic,23.5,,,,,,
Bacteroidetes,Organic,5,,,,,,
Firmicutes,Organic,11,,,,,,
Proteobacteria,Organic,46,,,,,,
Verrucomicrobia,Organic,5.5,,,,,,
Planctomycetes,Organic,4,,,,,,
Nitrospirae,Organic,2,,,,,,
Acidobacteria,Conventional,1.5,,,,,,
Actinobacteria,Conventional,21,,,,,,
Bacteroidetes,Conventional,5,,,,,,
Firmicutes,Conventional,18,,,,,,
Proteobacteria,Conventional,49,,,,,,
Verrucomicrobia,Conventional,2.5,,,,,,
Planctomycetes,Conventional,2,,,,,,
Nitrospirae,Conventional,1,,,,,,
Acidobacteria,Organic,44,,,,,,
Actinobacteria,Organic,10,,,,,,
Armatimonadota,Organic,2,,,,,,
Bacteroidetes,Organic,2,,,,,,
Chloroflexi,Organic,3,,,,,,
Firmicutes,Organic,0,,,,,,
Gemmatimonadetes,Organic,2,,,,,,
Nitrospirae,Organic,2,,,,,,
Planctomycetes,Organic,3,,,,,,
Proteobacteria,Organic,18,,,,,,
Verrucomicrobia,Organic,9,,,,,,
Others,Organic,5,,,,,,
Acidobacteria,Conventional,29,,,,,,
Actinobacteria,Conventional,14,,,,,,
Armatimonadota,Conventional,4,,,,,,
Bacteroidetes,Conventional,2,,,,,,
Chloroflexi,Conventional,9,,,,,,
Firmicutes,Conventional,0,,,,,,
Gemmatimonadetes,Conventional,3,,,,,,
Nitrospirae,Conventional,1,,,,,,
Planctomycetes,Conventional,9,,,,,,
Proteobacteria,Conventional,19,,,,,,
Verrucomicrobia,Conventional,8,,,,,,
Others,Conventional,2,,,,,,
Acidobacteria,Intermediate,36,,,,,,
Actinobacteria,Intermediate,12,,,,,,
Armatimonadota,Intermediate,3,,,,,,
Bacteroidetes,Intermediate,2,,,,,,
Chloroflexi,Intermediate,5,,,,,,
Firmicutes,Intermediate,1,,,,,,
Gemmatimonadetes,Intermediate,2,,,,,,
Nitrospirae,Intermediate,2,,,,,,
Planctomycetes,Intermediate,7,,,,,,
Proteobacteria,Intermediate,18,,,,,,
Verrucomicrobia,Intermediate,12,,,,,,
Others,Intermediate,0,,,,,,
Acidobacteria,Conventional,15,,,,,,
Actinobacteria,Conventional,28.25,,,,,,
Bacteroidetes,Conventional,2.5,,,,,,
Chloroflexi,Conventional,8.75,,,,,,
Firmicutes,Conventional,6.75,,,,,,
Proteobacteria,Conventional,26,,,,,,
Gemmatimonadetes,Conventional,3.25,,,,,,
Others,Conventional,9.5,,,,,,
Acidobacteria,Organic,14.5,,,,,,
Actinobacteria,Organic,32.5,,,,,,
Bacteroidetes,Organic,3,,,,,,
Chloroflexi,Organic,9.5,,,,,,
Firmicutes,Organic,4.5,,,,,,
Proteobacteria,Organic,23.5,,,,,,
Gemmatimonadetes,Organic,2,,,,,,
Others,Organic,10.5,,,,,,
Proteobacteria,Organic,30,,,,,,
