Species,Condition,Percentage
Acidobacteria,Conventional,13
Actinobacteria,Conventional,17
Bacteroidetes,Conventional,7
Chloroflexi,Conventional,4
Firmicutes,Conventional,10
Planctomycetes,Conventional,3
Proteobacteria,Conventional,30
Verrucomicrobia,Conventional,3
Gemmatimonadetes,Conventional,2
Nitrospirae,Conventional,1
Armatimonadota,Conventional,1
Others,Conventional,9
Acidobacteria,Intermediate,30
Actinobacteria,Intermediate,14
Bacteroidetes,Intermediate,4
Chloroflexi,Intermediate,5
Firmicutes,Intermediate,2
Planctomycetes,Intermediate,5
Proteobacteria,Intermediate,20
Verrucomicrobia,Intermediate,8
Gemmatimonadetes,Intermediate,1
Nitrospirae,Intermediate,1
Armatimonadota,Intermediate,1
Crenarchaeota,Intermediate,4
Myxococcota,Intermediate,1
Others,Intermediate,4
Acidobacteria,Organic,16
Actinobacteria,Organic,18
Bacteroidetes,Organic,7
Chloroflexi,Organic,4
Firmicutes,Organic,8
Planctomycetes,Organic,2
Proteobacteria,Organic,31
Verrucomicrobia,Organic,4
Gemmatimonadetes,Organic,1
Nitrospirae,Organic,1
Others,Organic,8
